,Unnamed: 0,number,steam_id,playtime_at_review,voted_up,votes_up,review,story,graphic,character,music,Operability,story_state
0,0,0,76561199404000484,4184,False,0,2023/02/04　エラーが多くまともにゲームが出来ない。　返金してほしいぐらい,,,,,,0
1,1,1,76561198438339556,240,False,1,ジャッキーとかいうガチムチのおっさんが全然喋ってくれないせいで閉じきったエレベーターの中おっさんと二人きりで進行不可能となりました。,,,,,,0
2,2,2,76561198349212653,3874,False,0,"ゲームをまだ三分の一もプレイしていないのに起動できなくなった
PCスペックにはゲーミングPCなので余裕がある
特に新しくソフトを入れたりもしていない
二時間以上プレイしていたので返金もできないらしい
お金をドブに捨てたいならおすすめ",,,,,,0
3,3,3,76561199134602079,2560,True,0,バグ多いけどおもろい,,,,,,0
4,4,4,76561198262559835,5185,True,6,"プレイ開始が発売後かなり時間がたってからなので当初のバグは知らんけど...
現在(2023/2/3)時点の最新Verでは今のところバグには遭遇してないです。
Modも充実してきてるし大型DLCの情報もちょっとだけど出てきてる。
バグが不安ならもう心配しないで遊べるし遊び始める時期は今がちょうどいいのでは...?

この手のオープンワールドAAA級タイトルは
・発売から時間がある程度経っていて動作が安定している
・かつDLCやアプデ等の新展開がまだ残っている
時期に遊ぶのが一番面白いと思う。

ただ、要求スペックがめちゃくちゃ下がっているわけではないと思うのでそこは要注意。
RX6700XTくんには少し荷が重いようで、レイトレオフでもウルトラ設定デフォルトはちょっときつい。
自分の環境だと上記グラボでウルトラ設定デフォルトだと常時60fpsは出ない。

難易度とかゲーム性は最高峰ってわけではないし及第点だと思うけど、
ナイトシティの景観はめっちゃきれいだし細かいオブジェクトとか通行人とかの""サイバーパンク感""はすごいので。
PCスペックにある程度自信があって、オープンワールドゲームが好きで、何より景観や雰囲気を重視する！！！
って人は遊んだほうがいいと思う。

※愚痴というかぼやき
最近フレームレートが著しく出ないようになってる...
以前は低設定とか中設定なんて使いもしなかったし、高設定以上で7～80fpsくらい出てたんだけど...
ここ一週間くらいずっと低～中設定で60fps切るしなんか画面が引っかかるように...
PCの稼働状況見ながら遊んでみたけどどこか問題ありそうなところぱっと見無い...
なんかしらのソフトとかWindowsの設定が干渉してるんだと思うけどわからんです。
DLSS 3のアプデ入ったらしいからそれ関係かもしれないけどね。",,,,,,0
5,5,5,76561199135087682,5332,True,0,やりこみ要素多すぎ,,,,,,0
6,6,6,76561199176500463,1683,True,0,進行不可能なバグが生じる場合があり、常にびくびくしながらプレイするのは事実だがこの要素を加味しても面白い。気持ちよく敵をブチ殺すのは最高。,,,,,,0
7,7,7,76561199254656224,3208,True,0,いつもオープンワールドはすぐ飽きちゃうのに、ストーリーをクリアしたくないレベルではまってます！サイドクエストも景色もすごくぐっど。景色が良すぎてファストトラベルほとんど使わなくても楽しめてます！エッジランナーズ見て買いましたが、ナイトシティに抱いてたあの感じがアニメよりももっと近くに感じられてテンション上がる！！！,,,,,,0
8,8,8,76561199387458979,1030,True,0,omosiroize,,,,,,0
9,9,9,76561199170067097,2701,True,0,"このためにゲーミングPCを買ったと言っても過言ではないメガタイトル。
広大なオープンワールドのように見えて実は入れる建物は少ないため、割と狭く感じるかもしれない。(これはオープンワールドの宿命か)
ボダラン的FPSになっているため、比較的とっつきやすい出来になっていると思う。

発売当初は色々とゴタゴタがあって評価もひどい有様だったが、そこからコツコツと巻き返したので安心して購入できる状態に今はなっている。
だがやはり、それなりのスペックが要求されることに変わりはない。
面白いゲームであることに変わりはないので、懐とスペックに余裕がある方はぜひ購入してサイバーパンクな世界に浸ろう。",,,,,,0
