,number,steam_id,playtime_at_review,voted_up,votes_up,review,story,graphic,character,music,Operability,story_state
0,0,76561199031383452,19542,True,0,k,,,,,,0
1,1,76561199231599413,4828,True,1,３Gからやってるけど初めてするならライズが一番いいと思うまずモンスターが適度に弱くソロでもできる機能もある４とか４Gとかと違って乱入もなく移動も早くスピード感があるからやってて楽しい,,,,,,0
2,2,76561198834052988,44212,True,0,フロンティア以降久々のモンハン,,,,,,0
3,3,76561199223889222,12325,False,0,"２か月前からずっと待っていた第4弾の復活古龍種モンスはイヴェルカーナだけ？

モンハン楽しい~

[spoiler] 这下真感觉不如世界。。。画质了[/spoiler] 

[spoiler] fk capcom[/spoiler]",,,,,,0
4,4,76561199243052928,7732,True,1,おっぱい　いっぱい　ぼくげんき,,,,,,0
5,5,76561198056971848,20148,False,0,"マスターランクも解放してMR80ほどまでやりましたが、それ以上やろうという気にはなれませんでした。

　システム面の多くが優れており、非常にとっつきやすく、参加しやすい性格です。とくに集会所クエストはプレイ人数が多いのも相まって、そうとう簡単にクリア可能です。というより、参加した瞬間にクエストクリアとなるケースも稀ではありません。たんに1から周回を重ねるより楽なので素材集めも苦労は少なかった印象でした。『モンハンを始めてみたい！』と思っている方、まだモンハンライズに人がいるとわかっているor友達がいるならオススメです。

　素晴らしいゲームですが、プレイ人数がいてこその快適さであることは間違いないため、サンブレイクのさらに次の別ナンバリング以降で購入するのは、このゲーム自体の醍醐味が無くなっているでしょう。つまるところ、人がたくさん繋いでいるから成り立っているゲームです。ソロでやろうとは思いません。",,,,,,0
6,6,76561198339929924,103,False,0,我是傻逼,,,,,,0
7,7,76561199472391182,413,True,0,"MHP2GかMHF(G)あたりで止まってる人におすすめ。　本人がそうだから
",,,,,,0
8,8,76561197997537369,10016,True,0,素直に楽しめるゲームだと思います！,,,,,,0
9,9,76561199107062505,37869,False,3,"プレイしていてストレスしか溜まらない。
即反応しない、まったりとした動きに苛立つ。
モンスターのパターン化した動きを覚えてから戦うゲームのようなので、私には合わない。",,,,,,0
10,10,76561199215759976,1697,True,1,ii,,,,,,0
11,11,76561198205876140,10667,True,0,"色々と新規要素はあるけれどやってることはいつものモンハン。
でも翔蟲を使っての縦横に飛び回るアクションは新鮮で楽しいです。

過去作に比べて遊びやすく難易度もいくらか下がってる気がします。
終盤は強モンスターもいるけど防御力重視にスキルを振っていけばしぬことも少ないかも。
(討伐に時間はかかるけど)

完成度は高くボリュームもあるしハマれば長く遊べる。
カプコンさんのゲームはセールを頻繁にやってるのでその際に買えばかなりの高コスパかと。",,,,,,0
12,12,76561199260892865,34736,True,0,"ハンターの体重をも支える翔蟲。
ハンターの必殺を引き出す翔蟲。
ハンターのピンチを救う翔蟲。
ハンターに使われているようで実際はハンターを操っている翔蟲。
そんな蟲の物語。",,,,,,0
13,13,76561198187487235,27663,True,1,"ネットのフレンズに火力キャリーしてもらいながらサンブレイクまで楽しめました。
ソロ・野良マルチでも楽しめるとは思いますが、やはり通話しながら狩猟するのが最高や。
こんな、変態狩人と狩猟遊びしないか。
[strike]友達を探す・作るのが一番難しいんですけど...[/strike]

セールになればそこそこ安くはなりますが、元々フルプライスゲームなのでボリュームはあります。
本格的にやるなら他のゲームほぼできなくなります。無料()オンラインゲームに飽きたらフレンズ共々引き連れてハンターに、なろう！（提案）
[strike]正直今からガチめにやるならサンブレイクも買った方がいいと思う。サンブレイクの本編クリアまでがチュートリアルみたいなもんやし[/strike]",,,,,,0
14,14,76561198413990342,1939,False,0,2023/1時点　マッチングしない　マルチは出来ないね　ソロはOKだが、寂しいね。,,,,,,0
15,15,76561199190069364,8003,True,2,"アマツよ来い
",,,,,,0
16,16,76561198197041190,3361,True,3,"頭空っぽにして遊べるゲームです。
壁外に出て大きな動物達と戯れる事が出来る癒されゲーで、リアルで疲れ切っている現代社会人の皆さんにこそおすすめしたい作品の一つになります。
最も近いゲームとしてはとうぶつの森に近いゲーム性で壁外で大きな動物達のお世話をしてお金を稼ぎ、色々な服を買ったり、大きな動物と遊ぶためのおもちゃを買ったり出来ます！",,,,,,0
17,17,76561198882224843,388,True,0,[h1] 楽しいです　みんなでやるともっと楽しいと思うけど [/h1],,,,,,0
18,18,76561199079955034,5358,False,0,クラッシュエラーばかり起きて、萎える,,,,,,0
19,19,76561199020704367,4138,False,3,"面白くないとまでは言わないけど逆に面白いと思える要素も薄くてパッとしない感じ。
フルプライスで買う価値はないかなと思う。",,,,,,0
20,20,76561198424172722,9318,False,1,"ワールド未プレイならワールドやれ。あっちの方が面白いから(´・ω・`)
なおワールドの受付ジョーは糞",,,,,,0
21,21,76561199275249350,2508,True,0,,,,,,,0
22,22,76561199000821793,28967,True,0,モンハン処女をこれで卒業することはとても良いことでありまする。,,,,,,0
23,23,76561198116222583,36830,False,4,"快適に攻略しようとすると指がリラックスできなくなり徒労感が強い
壁走りはスタミナの減りがマッハ、切れると勝手に逆方向に飛び降りてしまう
途中で翔蟲にぶら下がって回復したり疾翔けするなど操作の一手間二手間が必要
空中で疾翔け上方を出してもほぼ横にしか飛ばないので上に飛ぶ方法は照準しかないが
照準疾翔けのクールタイムは長いという翔蟲への思いやり
ガルクはツタなしの高い崖は登れないがドリフト後のダッシュが速く長い直路で使える
しかし持続時間が短く連発するのも面倒で快適とは言えずおもしろくもない

武器を構えたらお馴染みのスロー走りで基本操作にジャンプはない
機械のように追尾し広範囲技を連発するモンスター達、当たり判定が謎に広く時間も長い
激しくステップするモンスターも多く機動力の低い武器はテンポが悪い
武器アクションの基礎性能が全体的に低く操作性も悪いので快適さや面白さに欠ける
回避性能が弱体化しカウンターの成功条件は緩いバランスになっている

入れ替え技は開発の悪ふざけにより技の両立ができない使い勝手の劣化した縛りシステム
鉄蟲糸技を適当に繰り返すだけでも何でも攻略できる難易度なので簡単だが達成感もない
普通に出せるはずの技にも翔蟲の制限があるとアクションが進化した気がしない
モンハンは斬って避けてのリズム感が癖になるシリーズだったがライズは別物

翔蟲受け身はクールタイムが長く鉄蟲糸技の回転率を下げてしまう
また納刀で強化が切れる技もあるため被弾時は結局従来通りに寝転がることが多い
このゲームデザインで納刀にペナルティを課す必要があったのか甚だ疑問

クエスト開始のたびに何度も崖を走らせトリを集めさせてプレイ時間を引き伸ばし
小型モンスターの殆どがただのお邪魔キャラの扱いで生態表現ができていない
他にもモンハン世界の雰囲気よりもプレイヤーの嫌がらせを重視した仕様が目立つ
爽快感に結びつかず解消できない作業感は本末転倒",,,,,,0
24,24,76561199394890457,8115,True,0,あああああ,,,,,,0
25,25,76561198016919308,6533,True,0,"今までのモンハンに比べると、いわゆる「必殺技」に該当するスキルが前面に出ており
翔虫というワイヤーアクションでDMCやベヨネッタのようなスタイリッシュな動きが出来る。

多彩な重ね着でゴッドイーターのキャラみたいな、化け物にカジュアルな薄着で立ち向かう美形キャラも作れる。
なにより、自キャラが信じられない位喋りまくる。

「こいつは俺が狩る！」",,,,,,0
26,26,76561197960399874,63370,True,0,"常に最新作が一番面白いのがモンハンの凄いところ。(過去の要素が恋しくなる事もある)
楽しい！面白い！モンスターも武器も防具もカッコいい！感想はこれでじゅうぶん。

",,,,,,0
